muni_id,name,county,admin_region
09171113,Burgkirchen an der Alz,,
09376119,Burglengenfeld,,
09674121,Burgpreppach,,
09577120,Burgsalach,,
09677122,Burgsinn,,
09574117,Burgthann,,
09673452,Burgwallbacher Forst,,
09471122,Burgwindheim,,
09571128,Burk,,
09672117,Burkardroth,,
09774122,Burtenbach,,
09778123,Buxheim,,
09773113,Bächingen an der Brenz,,
09377112,Bärnau,,
09190117,Böbing,,
09778119,Böhen,,
09576117,Büchenbach,,
09275119,Büchlberg,,
09678451,Bürgerwald,,
09676116,Bürgstadt,,
09573114,Cadolzburg,,
09473452,Callenberger Forst-West,,
09675116,Castell,,
09372116,Cham,,
09372117,Chamerau,,
09189114,Chieming,,
09189451,Chiemsee,,
09187123,Chiemsee,,
09463000,Coburg,,
09676117,Collenberg,,
09571130,Colmberg,,
09174115,Dachau,,
09575117,Dachsbach,,
09779129,Daiting,,
09671160,Dammbach,,
09771122,Dasing,,
09576452,Dechenwald,,
09271119,Deggendorf,,
09779130,Deiningen,,
09774124,Deisenhausen,,
09176120,Denkendorf,,
09571132,Dentlein am Forst,,
09675117,Dettelbach,,
09375127,Deuerling,,
09571134,Diebach,,
09772130,Diedorf,,
09575118,Diespeck,,
09571135,Dietenhofen,,
09277114,Dietersburg,,
09575119,Dietersheim,,
09376122,Dieterskirchen,,
09780119,Dietmannsried,,
09173118,Dietramszell,,
09181114,Dießen am Ammersee,,
09773125,Dillingen an der Donau,,
09279112,Dingolfing,,
09678122,Dingolshausen,,
09571136,Dinkelsbühl,,
09772131,Dinkelscherben,,
09778127,Dirlewang,,
09678123,Dittelbrunn,,
09577122,Dittenheim,,
09176121,Dollnstein,,
09571137,Dombühl,,
09375130,Donaustauf,,
09779131,Donauwörth,,
09177115,Dorfen,,
09676118,Dorfprozelten,,
09474119,Dormitz,,
09572453,Dormitzer Forst,,
09779452,Dornstadt-Linkersbaindt,,
09672451,Dreistelzer Forst,,
09375131,Duggendorf,,
09780120,Durach,,
09473120,Dörfles-Esbach,,
09273451,Dürnbucher Forst,,
09774127,Dürrlauingen,,
09571139,Dürrwangen,,
09674129,Ebelsbach,,
09478120,Ebensfeld,,
09371118,Ebermannsdorf,,
09474121,Ebermannstadt,,
09175115,Ebersberg,,
09175452,Ebersberger Forst,,
09473121,Ebersdorf bei Coburg,,
09774129,Ebershausen,,
09774451,Ebershauser-Nattenhauser Wald,,
09377115,Ebnath,,
09471128,Ebrach,,
09471452,Ebracher Forst,,
09274124,Eching,,
09178120,Eching,,
09181115,Eching am Ammersee,,
09172452,Eck,,
09572121,Eckental,,
09472131,Eckersdorf,,
09371119,Edelsfeld,,
09779136,Ederheim,,
09187124,Edling,,
09474122,Effeltrich,,
09179117,Egenhofen,,
09778130,Egg an der Günz,,
09277116,Eggenfelden,,
09777124,Eggenthal,,
09277117,Egglham,,
09183115,Egglkofen,,
09187125,Eggstätt,,
09275120,Eging am See,,
09190121,Eglfing,,
09175453,Eglhartinger Forst,,
09173120,Egling,,
09181116,Egling an der Paar,,
09474124,Egloffstein,,
09175116,Egmating,,
09185127,Ehekirchen,,
09571141,Ehingen,,
09772134,Ehingen,,
09779138,Ehingen am Ries,,
09371452,Eichen,,
09179118,Eichenau,,
09676119,Eichenbühl,,
09176123,Eichstätt,,
09471453,Eichwald,,
09187126,Eiselfing,,
09777125,Eisenberg,,
09679126,Eisingen,,
09176124,Eitensheim,,
09177116,Eitting,,
09775139,Elchingen,,
09672121,Elfershausen,,
09772136,Ellgau,,
09577125,Ellingen,,
09774133,Ellzee,,
09676121,Elsenfeld,,
09674133,Eltmann,,
09772137,Emersacker,,
09175136,Emmering,,
09179119,Emmering,,
09171114,Emmerting,,
09575121,Emskirchen,,
09189115,Engelsberg,,
09574120,Engelthal,,
09574453,Engelthaler Forst,,
09371120,Ensdorf,,
09272116,Eppenschlag,,
09778134,Eppishausen,,
09377116,Erbendorf,,
09177117,Erding,,
09174118,Erdweg,,
09181118,Eresing,,
09274126,Ergolding,,
09274127,Ergoldsbach,,
09183116,Erharting,,
09277118,Ering,,
09778136,Erkheim,,
09679128,Erlabrunn,,
09562000,Erlangen,,
09171115,Erlbach,,
09572454,Erlenstegener Forst,,
09674223,Ermershausen,,
09186116,Ernsgaden,,
09676123,Eschau,,
09180114,Eschenlohe,,
09372124,Eschlkam,,
09374118,Eslarn,,
09677126,Esselbach,,
09274128,Essenbach,,
09779453,Esterholz,,
09180451,Ettaler Forst,,
09577127,Ettenstatt,,
09778137,Ettringen,,
09371140,Etzelwang,,
09374119,Etzenricht,,
09678128,Euerbach,,
09672122,Euerdorf,,
09771129,Eurasburg,,
09173123,Eurasburg,,
09677127,Eußenheim,,
09178123,Fahrenzhausen,,
09277119,Falkenberg,,
09377117,Falkenberg,,
09278120,Falkenfels,,
09372125,Falkenstein,,
09180116,Farchant,,
09171116,Feichten an der Alz,,
09475123,Feilitzsch,,
09188118,Feldafing,,
09184118,Feldkirchen,,
09278121,Feldkirchen,,
09187130,Feldkirchen-Westerham,,
09778139,Fellheim,,
09376125,Fensterbach,,
09574123,Feucht,,
09574454,Feuchter Forst,,
09472138,Fichtelberg,,
09472453,Fichtelberg Gemeindefreies Gebiet,,
09181120,Finning,,
09177118,Finsing,,
09772141,Fischach,,
09574455,Fischbach,,
09182114,Fischbachau,,
09780121,Fischen im Allgäu,,
09571146,Flachslanden,,
09673123,Fladungen,,
09187131,Flintsbach am Inn,,
09374121,Floß,,
09474126,Forchheim,,
09779146,Forheim,,
09677453,Forst Aura,,
09672454,Forst Detter-Süd,,
09671451,Forst Hain im Spessart,,
09677454,Forst Lohrerstraße,,
09472454,Forst Neustädtlein am Forst,,
09673453,Forst Schmalwasser-Nord,,
09673454,Forst Schmalwasser-Süd,,
09475451,Forst Schwarzenbach am Wald,,
09572455,Forst Tennenlohe,,
09184452,Forstenrieder Park,,
09177119,Forstern,,
09574456,Forsthof,,
09375451,Forstmühler Forst,,
09676452,Forstwald,,
09677129,Frammersbach,,
09677455,Frammersbacher Forst,,
09678130,Frankenwinheim,,
09187132,Frasdorf,,
09276121,Frauenau,,
09272452,Frauenberger und Duschlberger Wald,,
09273452,Frauenforst,,
09175119,Frauenneuharting,,
09371121,Freihung,,
09172118,Freilassing,,
09178124,Freising,,
09779147,Fremdingen,,
09471131,Frensdorf,,
09371122,Freudenberg,,
09373126,Freystadt,,
09272118,Freyung,,
09189118,Fridolfing,,
09771130,Friedberg,,
09777128,Friesenried,,
09279115,Frontenhausen,,
09377119,Fuchsmühl,,
09672124,Fuchsstadt,,
09181121,Fuchstal,,
09274132,Furth,,
09779148,Fünfstetten,,
09272119,Fürsteneck,,
09179121,Fürstenfeldbruck,,
09275122,Fürstenzell,,
09677456,Fürstlich Löwensteinscher Park,,
09563000,Fürth,,
09777129,Füssen,,
09772145,Gablingen,,
09176126,Gaimersheim,,
09173124,Gaißach,,
09575124,Gallmersgarten,,
09178125,Gammelsdorf,,
09277121,Gangkofen,,
09171117,Garching an der Alz,,
09184119,Garching bei München,,
09180117,Garmisch-Partenkirchen,,
09183118,Gars am Inn,,
09679134,Gaukönigshofen,,
09188120,Gauting,,
09371123,Gebenbach,,
09472139,Gefrees,,
09678452,Geiersberg,,
09672455,Geiersnest-Ost,,
09672456,Geiersnest-West,,
09471454,Geisberger Forst,,
09671119,Geiselbach,,
09278123,Geiselhöring,,
09675127,Geiselwind,,
09186122,Geisenfeld,,
09274134,Geisenhausen,,
09679135,Gelchsheim,,
09678132,Geldersheim,,
09473453,Gellnhausen,,
09181122,Geltendorf,,
09576453,Gemarkung Forst Kleinschwarzenlohe,,
09672458,Gemeindefreies Gebiet Kälberberg,,
09574461,gemeindefreies Gebiet Leinburg,,
09677131,Gemünden am Main,,
09779149,Genderkingen,,
09374123,Georgenberg,,
09576121,Georgensgmünd,,
09471133,Gerach,,
09277122,Geratskirchen,,
09679136,Gerbrunn,,
09173126,Geretsried,,
09475452,Gerlaser Forst,,
09777130,Germaringen,,
09179123,Germering,,
09475453,Geroldsgrüner Forst,,
09679137,Geroldshausen,,
09186125,Gerolsbach,,
09678134,Gerolzhofen,,
09772147,Gersthofen,,
09274135,Gerzen,,
09572456,Geschaidt,,
09472140,Gesees,,
09772148,Gessertshausen,,
09776112,Gestratz,,
09679138,Giebelstadt,,
09188121,Gilching,,
09472141,Glashütten,,
09472456,Glashüttener Forst,,
09671120,Glattbach,,
09376131,Gleiritsch,,
09372128,Gleißenberg,,
09175121,Glonn,,
09773133,Glött,,
09577133,Gnotzheim,,
09678135,Gochsheim,,
