ags,name,is_kreisfrei,bundesland,regierungsbezirk,landkreis,population,population_date,homepage_url,allowed_domains,lat,lon,wikipedia_url,wikidata_qid,wikipedia_revision,last_checked,source
09171123,Marktl,0,Bayern,Oberbayern,Landkreis Altötting,2826,2023-12-31T00:00:00Z,https://www.vg-marktl-stammham.de/marktl/,vg-marktl-stammham.de|www.vg-marktl-stammham.de,48.253333,12.843056,https://de.wikipedia.org/wiki/Marktl,Q487328,262679869,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171124,Mehring,0,Bayern,Oberbayern,Landkreis Altötting,2416,2023-12-31T00:00:00Z,https://www.gemeinde-mehring.de,gemeinde-mehring.de|www.gemeinde-mehring.de,48.183333,12.783333,https://de.wikipedia.org/wiki/Mehring_(Oberbayern),Q1917569,262752045,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171125,Neuötting,0,Bayern,Oberbayern,Landkreis Altötting,9062,2023-12-31T00:00:00Z,https://www.neuoetting.de/,neuoetting.de|www.neuoetting.de,48.241111,12.685000,https://de.wikipedia.org/wiki/Neu%C3%B6tting,Q269473,263754629,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171126,Perach,0,Bayern,Oberbayern,Landkreis Altötting,1332,2023-12-31T00:00:00Z,http://www.perach.de,perach.de|www.perach.de,48.266667,12.766667,https://de.wikipedia.org/wiki/Perach,Q258993,255463385,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171127,Pleiskirchen,0,Bayern,Oberbayern,Landkreis Altötting,2464,2023-12-31T00:00:00Z,https://pleiskirchen.de,pleiskirchen.de|www.pleiskirchen.de,48.300000,12.600000,https://de.wikipedia.org/wiki/Pleiskirchen,Q1620884,253374210,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171129,Reischach,0,Bayern,Oberbayern,Landkreis Altötting,2706,2023-12-31T00:00:00Z,http://www.reischach.de,reischach.de|www.reischach.de,48.283333,12.733333,https://de.wikipedia.org/wiki/Reischach,Q256575,255947464,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171130,Stammham,0,Bayern,Oberbayern,Landkreis Altötting,1019,2023-12-31T00:00:00Z,https://www.vg-marktl-stammham.de/stammham,vg-marktl-stammham.de|www.vg-marktl-stammham.de,48.250000,12.883333,https://de.wikipedia.org/wiki/Stammham_(am_Inn),Q786024,254649336,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171131,Teising,0,Bayern,Oberbayern,Landkreis Altötting,1806,2023-12-31T00:00:00Z,http://www.teising.de,teising.de|www.teising.de,48.233333,12.616667,https://de.wikipedia.org/wiki/Teising,Q765374,257957705,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171132,Töging am Inn,0,Bayern,Oberbayern,Landkreis Altötting,9560,2023-12-31T00:00:00Z,https://www.toeging.de/,toeging.de|www.toeging.de,48.254722,12.586667,https://de.wikipedia.org/wiki/T%C3%B6ging_am_Inn,Q256375,261283536,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171133,Tüßling,0,Bayern,Oberbayern,Landkreis Altötting,3315,2023-12-31T00:00:00Z,https://tuessling.de,tuessling.de|www.tuessling.de,48.216667,12.583333,https://de.wikipedia.org/wiki/T%C3%BC%C3%9Fling,Q2465297,262934853,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171134,Tyrlaching,0,Bayern,Oberbayern,Landkreis Altötting,1093,2023-12-31T00:00:00Z,http://tyrlaching.de/,tyrlaching.de|www.tyrlaching.de,48.066667,12.666667,https://de.wikipedia.org/wiki/Tyrlaching,Q1617853,263182699,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171135,Unterneukirchen,0,Bayern,Oberbayern,Landkreis Altötting,3463,2023-12-31T00:00:00Z,https://www.unterneukirchen.de/,unterneukirchen.de|www.unterneukirchen.de,48.165136,12.618686,https://de.wikipedia.org/wiki/Unterneukirchen,Q931366,258479564,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09171137,Winhöring,0,Bayern,Oberbayern,Landkreis Altötting,4856,2023-12-31T00:00:00Z,https://www.winhoering.de/,winhoering.de|www.winhoering.de,48.266667,12.650000,https://de.wikipedia.org/wiki/Winh%C3%B6ring,Q265381,263593378,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172111,Ainring,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,10002,2023-12-31T00:00:00Z,https://www.ainring.de/startseite,ainring.de|www.ainring.de,47.815620,12.942905,https://de.wikipedia.org/wiki/Ainring,Q406109,263173956,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172112,Anger,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,4525,2023-12-31T00:00:00Z,http://www.anger.de/,anger.de|www.anger.de,47.800000,12.850000,https://de.wikipedia.org/wiki/Anger_(Berchtesgadener_Land),Q260704,263182740,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172114,Bad Reichenhall,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,19087,2023-12-31T00:00:00Z,https://www.stadt-bad-reichenhall.de/,stadt-bad-reichenhall.de|www.stadt-bad-reichenhall.de,47.724722,12.876944,https://de.wikipedia.org/wiki/Bad_Reichenhall,Q487971,262838783,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172115,Bayerisch Gmain,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,3202,2023-12-31T00:00:00Z,https://www.bayerisch.gmain.de/,bayerisch.gmain.de|www.bayerisch.gmain.de,47.719444,12.896667,https://de.wikipedia.org/wiki/Bayerisch_Gmain,Q263586,259937134,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172116,Berchtesgaden,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,7698,2023-12-31T00:00:00Z,https://www.gemeinde.berchtesgaden.de/,gemeinde.berchtesgaden.de|www.gemeinde.berchtesgaden.de,47.631389,13.004167,https://de.wikipedia.org/wiki/Berchtesgaden,Q278221,262789170,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172117,Bischofswiesen,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,7111,2023-12-31T00:00:00Z,http://www.bischofswiesen.de,bischofswiesen.de|www.bischofswiesen.de,47.649444,12.963889,https://de.wikipedia.org/wiki/Bischofswiesen,Q256985,263033651,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172118,Freilassing,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,18036,2023-12-31T00:00:00Z,https://www.freilassing.de/,freilassing.de|www.freilassing.de,47.833333,12.966667,https://de.wikipedia.org/wiki/Freilassing,Q278352,263575501,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172122,Laufen,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,7541,2023-12-31T00:00:00Z,https://stadtlaufen.de/,stadtlaufen.de|www.stadtlaufen.de,47.933333,12.933333,https://de.wikipedia.org/wiki/Laufen_(Salzach),Q201066,263183452,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172124,Marktschellenberg,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,1770,2023-12-31T00:00:00Z,http://www.marktschellenberg.de,marktschellenberg.de|www.marktschellenberg.de,47.695018,13.046725,https://de.wikipedia.org/wiki/Marktschellenberg,Q116883,260373597,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172128,Piding,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,5464,2023-12-31T00:00:00Z,http://www.gemeinde-piding.de,gemeinde-piding.de|www.gemeinde-piding.de,47.766667,12.916667,https://de.wikipedia.org/wiki/Piding,Q267865,263182859,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172129,Ramsau bei Berchtesgaden,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,1748,2023-12-31T00:00:00Z,https://www.ramsau.de/,ramsau.de|www.ramsau.de,47.607222,12.895000,https://de.wikipedia.org/wiki/Ramsau_bei_Berchtesgaden,Q253472,263652854,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172130,Saaldorf-Surheim,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,5600,2023-12-31T00:00:00Z,http://www.saaldorf-surheim.de,saaldorf-surheim.de|www.saaldorf-surheim.de,47.870278,12.929722,https://de.wikipedia.org/wiki/Saaldorf-Surheim,Q533251,263184472,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172131,Schneizlreuth,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,1394,2023-12-31T00:00:00Z,https://www.schneizlreuth.de/,schneizlreuth.de|www.schneizlreuth.de,47.683333,12.800000,https://de.wikipedia.org/wiki/Schneizlreuth,Q253867,259687046,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172132,Schönau am Königssee,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,5706,2023-12-31T00:00:00Z,http://www.schoenau-koenigssee.com,schoenau-koenigssee.com|www.schoenau-koenigssee.com,47.590000,12.990000,https://de.wikipedia.org/wiki/Sch%C3%B6nau_am_K%C3%B6nigssee,Q503682,263582045,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09172134,Teisendorf,0,Bayern,Oberbayern,Landkreis Berchtesgadener Land,9431,2023-12-31T00:00:00Z,https://www.teisendorf.org/,teisendorf.org|www.teisendorf.org,47.850000,12.816667,https://de.wikipedia.org/wiki/Teisendorf,Q681864,263182975,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173111,Bad Heilbrunn,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,4048,2023-12-31T00:00:00Z,http://www.bad-heilbrunn.de/,bad-heilbrunn.de|www.bad-heilbrunn.de,47.750000,11.450000,https://de.wikipedia.org/wiki/Bad_Heilbrunn,Q256278,263534045,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173112,Bad Tölz,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,19360,2023-12-31T00:00:00Z,https://www.bad-toelz.de/,bad-toelz.de|www.bad-toelz.de,47.760278,11.556667,https://de.wikipedia.org/wiki/Bad_T%C3%B6lz,Q280491,263529597,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173113,Benediktbeuern,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,3736,2023-12-31T00:00:00Z,https://www.benediktbeuern.de/,benediktbeuern.de|www.benediktbeuern.de,47.706667,11.411667,https://de.wikipedia.org/wiki/Benediktbeuern,Q503628,263012129,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173115,Bichl,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,2360,2023-12-31T00:00:00Z,http://www.bichl.de/,bichl.de|www.bichl.de,47.720556,11.411944,https://de.wikipedia.org/wiki/Bichl,Q509296,263219599,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
09173118,Dietramszell,0,Bayern,Oberbayern,Landkreis Bad Tölz-Wolfratshausen,5737,2023-12-31T00:00:00Z,http://www.dietramszell.de/,dietramszell.de|www.dietramszell.de,47.850000,11.600000,https://de.wikipedia.org/wiki/Dietramszell,Q506523,263115628,2026-02-13,"wikipedia(wikitext section) + wikidata(P439,P856,P625,P1082,P585,P131) + wikidata(P131* RB fill)"
